汉语原文	人工翻译结果
虽然这是一种很常见的行为，但迪士尼却禁止这样做：门票是不可转让的。	འདི་ནི་རྒྱུན་མཐོང་གི་བྱ་སྤྱོད་ཅིག་ཡིན་མོད། འོན་ཀྱང་ཏི་ཧྲི་ཉི་ཡིས་འདི་ལྟར་སྒྲུབ་པར་བཀག་འགོག་བྱས། པ་སེ་ནི་བཤུག་སྤྲོད་བྱེད་མི་རུང་།
需要获得野营许可证才可以在大峡谷边缘的下方露营。	ས་སྟོང་སྒར་རྒྱག་གི་འཁྲོལ་འཛིན་ཐོབ་ན་ད་གཟོད་གྲོག་རོང་ཆེན་པོའི་མཐའ་སྐོར་གྱི་ཞོལ་དུ་སྒར་བརྒྱབ་ཆོག
旧金山开发了一个规模庞大的旅游基础设施，内设多家酒店、餐厅和一流的会议场所。	ཅིའུ་ཅིན་ཧྲན་གྱིས་གཞི་ཁྱོན་ཆེ་བའི་ཡུལ་སྐོར་གྱི་རྨང་གཞིའི་སྒྲིག་བཀོད་ཞིག་གསར་སྤེལ་བྱས་པ་དང་དེའི་ནང་མགྲོན་ཁང་དང་། ཟ་ཁང་། ཚོགས་འདུ་བྱ་ཡུལ་རྩེ་གྲ་བཅས་མང་པོ་བཙུགས་ཡོད།
许多在 eBay 或 Craigslist 等拍卖网站上出售的门票都是部分使用过的多日通票。	མང་པོའི་eBayའམ་ཡང་ན་Craigslistསོགས་རིན་གོང་གང་མཐོར་འཚོང་བའི་དྲ་ཚིགས་ཐོག་འཚོང་རྒྱུའི་སྒོ་འཛིན་མང་ཆེ་བ་ནི་ཉིན་མང་པོའི་སྤ་སེ་ཁག་གཅིག་བེད་སྤྱོད་བྱེད་མྱོང་ཡོད་པ་རེད།
最受欢迎的区域比如幽灵牧场 (Phantom Ranch) 附近的光明天使 (Bright Angel) 露营地，通常在第一天开放预订时就会收到满额预订申请。	ཆེས་དགའ་བསུ་ཐོབ་པའི་ས་ཁོངས་དཔེར་ན་རྣམ་ཤེས་འབྲོག་རྭ་(Phantom Ranch)ཉེ་འགྲམ་གྱི་འོད་ཟེར་ཕོ་ཉ་(BrightAngel)སྒར་སྡོད་བྱེད་ས། རྒྱུན་པར་ཉིན་དང་པོར་སྒོ་འབྱེད་མངགས་ཉོ་བྱེད་སྐབས་གྲངས་ཀྱིས་ཁེངས་པའི་སྔོན་ཉོའི་ཞུ་ཡིག་འབྱོར་གྱི་ཡོད།
南部非洲非常适合开车旅行，游客既可以欣赏该地区的所有美景，又可以到达常规旅游路线之外的地方。	ཨ་ཧྥེ་རི་ཁ་ལྷོ་རྒྱུད་དུ་རླངས་འཁོར་བཏང་ནས་ཡུལ་སྐོར་བྱེད་པར་ཧ་ཅང་འཚམ་པོ་ཡོད་པས་ཡུལ་སྐོར་བས་ས་ཁུལ་དེའི་མཛེས་ལྗོངས་ཚང་མ་མྱོང་རོལ་བྱེད་ཐུབ་ལ་རྒྱུན་གཏན་གྱི་ཡུལ་སྐོར་ལམ་ཐིག་ཕུད་པའི་ས་ཆར་ཡང་སླེབས་ཀྱི་ཡོད།
因此，如果启程日期为 5 月，野地露营许可证将在 1 月 1 日发放。	དེའི་རྐྱེན་གྱིས་གལ་ཏེ་རྡོག་ཐོན་གྱི་དུས་ཚོད་ནི་ཟླ་5པ་ཡིན་ན། ས་སྟོང་སྒར་རྒྱག་གི་འཁྲོལ་འཛིན་ཟླ་1ཚེས་1ཉིན་སྤྲོད་རྒྱུ་རེད།
对于未经预约的到访，许可证的预留数量有限，并按先到先得的原则提供许可证。	ཁ་ཆད་མ་བྱུང་བར་འཚམས་འདྲི་བྱེད་པར་ཡོང་མཁན་ལ་ཆ་མཚོན་ན།  ཆོག་འཐུས་ལག་ཁྱེར་གྱི་གྲངས་འབོར་ཉུང་ཉུང་ཡིན་པ་མ་ཟད།  སྔོན་ལ་སླེབས་སྐབས་སྔོན་ལ་ཐོབ་པའི་རྩ་དོན་ལྟར་ཆོག་འཐུས་ལག་ཁྱེར་ཡང་མཁོ་འདོན་བྱེད་ཀྱི་ཡོད།
只要细心规划，普通汽车就能做到，但强烈建议使用四驱汽车，而且许多地方只有大轴距四驱汽车才能通过。	འཆར་འགོད་ཞིབ་ཚགས་བྱས་ཚེ་སྤྱིར་བཏང་གི་རླངས་འཁོར་གྱིས་སྒྲུབ་ཐུབ་མོད། འོན་ཀྱང་བཞི་འཁོར་རླངས་འཁོར་སྤྱོད་རྒྱུའི་གྲོས་འགོ་དྲག་པོ་བཏོན་པ་མ་ཟད། ས་ཆ་མང་པོ་ཞིག་ཏུ་འཁོར་ཐག་ཆེན་པོ་ཅན་གྱི་བཞི་འཁོར་རླངས་འཁོར་གྱིས་མ་གཏོགས་འགྲོ་ཐུབ་ཀྱི་མེད།
每个国家/地区都立有专门法律，对务必放在车内的紧急物品进行了规定。	རྒྱལ་ཁབ་དང་ས་ཁུལ་ཚང་མར་ཆེད་དམིགས་ཀྱི་བཅའ་ཁྲིམས་བཙུགས་ཡོད་པ་དང་། ངེས་པར་དུ་རླངས་འཁོར་ནང་དུ་འཇོག་དགོས་པའི་ཛ་དྲག་ཆེ་བའི་དངོས་རྫས་གཏན་འབེབས་བྱས་ཡོད།
规划期间，请记住，虽然南部非洲处于稳定状态，但并非所有邻国亦然。	འཆར་འགོད་བྱེད་རིང་ལྷོ་ཕྱོགས་ཀྱི་ཨ་ཧྥེ་རི་ཁ་བརྟན་ལྷིང་གི་གནས་སུ་གྱར་མོད།འོན་ཀྱང་ཁྱིམ་མཚེས་རྒྱལ་ཁབ་ཚང་མ་དེ་ལྟར་ཡིན་པ་ཞིག་མིན།
签证要求和费用因国家/地区而异，并会受到你的国籍的影响。	འཐུས་མཆན་བཀོད་པའི་ལག་ཁྱེར་རེ་ཞུ་དང་འགྲོ་གྲོན་རྒྱལ་ཁབ་དང་ས་ཁུལ་གྱི་རྐྱེན་པས་མི་འདྲ་བ་མ་ཟད་།  ཁྱོད་ཀྱི་རྒྱལ་ཁོངས་ལ་ཤུགས་རྐྱེན་ཐེབས་སྲིད་།
在雨季（11 月至 3 月），水量会更高，瀑布也更加湍急。	ཆར་དུས(ཟླ་11པ་ནས་ཟླ་3པའི་བར)ཆུ་དེ་བས་མང་བ་དང་རྦབ་ཆུ་དེ་བས་ཀྱང་དྲག་ཏུ་འགྲོ་བཞིན་ཡོད།
维多利亚瀑布镇是津巴布韦西部的一个小镇，与赞比亚的利文斯通接壤，靠近博茨瓦纳。	བེ་ཏོ་ལི་ཡའི་རྦབ་ཆུ་གྲོང་རྡལ་ནི་ཙམ་པབ་ཝེའི་ནུབ་རྒྱུད་ཀྱི་གྲོང་རྡལ་ཆུང་ངུ་ཞིག་ཡིན་ཞིང་། ཙན་པི་ཡའི་ལའེ་ཝིན་སི་ཐོང་དང་འབྲེལ་ཡོད། པོ་ཚི་ཝ་ན་དང་ཉེ་འགྲམ་ཡིན།
该镇紧邻瀑布，瀑布是主要的景点，但这个热门的旅游目的地为探险者和观光者提供了可以久住的大量机会。	གྲོང་རྡལ་དེ་རྦབ་ཆུ་དང་ཐག་ཉེ་བ་དང་རྦབ་ཆུ་ནི་མཛེས་ལྗོངས་ཁུལ་གཙོ་བོ་ཞིག་ཡིན། འོན་ཀྱང་ཡུལ་སྐོར་བྱ་ཡུལ་དེས་མྱུལ་དཔྱད་པ་དང་ལྟ་སྐོར་བར་ཡུན་རིང་གནས་ཐུབ་པའི་གོ་སྐབས་མང་པོ་མཁོ་འདོན་བྱས་ཡོད།
如果你过桥或沿着瀑布附近蜿蜒的小径走，肯定会被弄湿。	གལ་ཏེ་ཁྱོད་ཀྱིས་ཟམ་སྟེང་ནས་འགྲོ་བའམ་ཡང་ན་རྦབ་ཆུའི་ཉེ་འགྲམ་གྱི་ཀྱག་ཀྱོག་གི་ལམ་ཆུང་དེད་ནས་སོང་ན།  བརླན་པར་བྱས་ཁོ་ཐག་ཡིན།
另一方面，恰恰因为水量太大，视线会被水挡住，看不到完整的瀑布！	ཕྱོགས་གཞན་ཞིག་ནས།﻿ ཏག་ཏག་ཆུ་མང་དྲག་པའི་རྐྱེན་གྱིས། ﻿མཐོང་ལམ་ཆུ་ཡིས་བཀག་ནས།﻿ རྦབ་ཆུ་ཆ་ཚང་ཞིག་མཐོང་མི་ཐུབ།
古墓里的巨额财富已不在墓中，而是转移到了开罗的埃及博物馆。	གནའ་བོའི་བང་སོའི་ནང་གི་རྒྱུ་ནོར་འབོར་ཆེན་ཞིག་བང་སོའི་ནང་མེད་པར་ཁེ་རོའི་ཨེ་ཅིབ་རྟེན་རྫས་བཤམས་མཛོད་ཁང་དུ་གནས་སྤོ་བྱས་པ་ཞིག་རེད།
如果有人想着去看这具木乃伊从棺材中移出来时受到损坏，那么这些人可要大失所望了，因为大家只能看到木乃伊的头部和肩膀。	གལ་ཏེ་མི་ཞིག་གིས་དམར་གདུང་དེ་རོ་སྒམ་གྱི་ནང་ནས་སྤོས་ཡོང་བའི་སྐབས་སུ་ཆག་སྐྱོན་བྱུང་བར་བལྟ་འདོད་ན། མི་འདི་དག་གིས་རེ་བ་སྟོང་ཟད་དུ་གཏོང་སྲིད།  དེའི་རྒྱུ་མཚན་ནི་ཚང་མས་དམར་གདུང་གི་མགོ་དང་ཕྲག་པ་མ་གཏོགས་མཐོང་མི་ཐུབ་པས་རེད།
格罗姆寺位于暹粒市西南 12 公里处。这座山顶寺庙建于 9 世纪末耶输跋摩国王统治时期。	ཀེ་ལོ་མུའུ་དགོན་པ་ནི་ཤན་ལི་གྲོང་ཁྱེར་གྱི་ལྷོ་ནུབ་ཀྱི་སྤྱི་ལེ་12ཀྱི་མཚམས་སུ་གནས་ཡོད།  རི་རྩེ་འདི་ནི་དུས་རབས་9མཇུག་ཏུ་རྒྱལ་པོ་ཡེ་འདྲེན་མཇུག་བྱང་གིས་དབང་སྒྱུར་བྱེད་པའི་དུས་སྐབས་སུ་བཙུགས་པ་རེད།
寺庙阴郁的氛围和洞里萨湖（Tonle Sap）的景色，让人感到爬到山顶是值得的。	དགོན་སྡེའི་མུན་ནག་གི་རྣམ་པ་དང་ཏུང་ལི་ས་མཚེའུའི（Tonle Sap）མཛེས་ལྗོངས་ཀྱིས་མི་རྣམས་ལ་རི་རྩེར་འཛེག་པ་ནི་བྱེད་རིན་ཡོད་པ་ཞིག་ཡིན་པའི་ཚོར་སྣང་ཞིག་ཡོང་གི་ཡོད།
时间有限的游客最好选择其他去处。	དུས་ཚོད་ལ་ཚད་ཡོད་པའི་ཡུལ་སྐོར་བས། ཆེས་ལེགས་པར། ས་གཞན་པའི་འགྲོ་ས་འདེམས་ན་འགྲིག
参观景点时，还可以顺便乘船游湖。	མཛེས་ལྗོངས་ཁུལ་ལ་ལྟ་སྐོར་བྱེད་སྐབས་ད་དུང་ཞོར་དུ་གྲུ་གཟིངས་ལ་བསྡད་ནས་མཚོ་སྐོར་བྱེད་ཆོག
耶路撒冷是以色列的首都和最大城市，尽管大多数的其他国家/地区和联合国都不承认耶路撒冷是以色列的首都。	ཅེ་རུས་ས་ལེམ་ནི་དབྱི་སི་རལ་གྱི་རྒྱལ་ས་དང་གྲོང་ཁྱེར་ཆེ་ཤོས་ཤིག་ཡིན་པ་དང་།  རྒྱལ་ཁབ་གཞན་དག་དང་ས་ཁུལ་དང་མཉམ་འབྲེལ་རྒྱལ་ཁབ་མང་ཆེ་བས་ཅེ་རུས་ས་ལེམ་ནི་དབྱི་སི་རལ་གྱི་རྒྱལ་ས་ཡིན་པ་ཁས་ལེན་གྱི་མེད་མོད།
